,id,name,model,status,hasgpr,exchange,gapfilled,gpr_nogap,gpr_gapfill
70,rxn08924_c0,Mg2_plus__importing_ATPase_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
71,rxn04132_c0,R06063_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
72,rxn05195_c0,ATP_phosphohydrolase_ferric_ion_transporting_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
73,rxn01208_c0,R01652_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
74,rxn02989_c0,R04293_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
75,rxn04791_c0,S_hydroxymethylglutathione_synthase_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
76,rxn04133_c0,R06064_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
77,rxn10570_c0,Methanol_diffusion_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
78,rxn24718_c0,RXN_8243c_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
79,rxn23589_c0,RXN_13329c_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
80,rxn08502_e0,enterobactin_FeIII_binding_spontaneous_e0,2OrMore,nogpr,False,False,False,Unknown,Unknown
81,rxn05508_c0,TRANS_RXNBWI_115637cemaizeexpASN_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
82,rxn05645_c0,riboflavin_transport_in_via_proton_symport_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
83,rxn05300_c0,TRANS_RXNBWI_115637cemaizeexpTHR_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
84,rxn05638_c0,TRANS_RXNBWI_115637cemaizeexpPRO_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
85,rxn05652_c0,spermidine_transport_in_via_proton_antiport_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
86,rxn05244_c0,TRANS_RXNBWI_115637cemaizeexpILE_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
87,rxn05243_c0,TRANS_RXNBWI_115637cemaizeexpLEU_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
88,rxn05255_c0,folate_transport_via_proton_simport_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
89,rxn09696_c0,S_adenosylmethionine_permease_SAM3_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
90,rxn05297_c0,TRANS_RXNBWI_115637cemaizeexpGLT_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
91,rxn05496_c0,TRANS_RXNBWI_115637cemaizeexpL_ALPHA_ALANINE_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
92,rxn05305_c0,L_lysine_transport_out_via_proton_antiport_reversible_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
93,rxn05303_c0,TRANS_RXNBWI_115637cemaizeexpARG_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
94,rxn12666_c0,Pyridoxal_transport_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
95,rxn09657_c0,Thiamine_transporter_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
96,rxn05299_c0,TRANS_RXNBWI_115637cemaizeexpHIS_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
97,rxn05308_c0,Pantothenate_reversible_transport_via_proton_symport_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
98,rxn09693_c0,Biotin_uptake_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
99,rxn08192_c0,ABC_5_RXNcp_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
100,rxn05582_c0,TRANS_RXNBWI_115637cemaizeexpGLY_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
101,rxn05148_c0,Heme_transport_via_ABC_system_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
102,rxn05310_c0,Nicotinate_transport_Plasma_membrane_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
103,rxn09690_c0,TRANS_RXNBWI_115637cemaizeexpCYS_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
104,rxn09678_c0,TRANS_RXNBWI_115637cemaizeexpGLN_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
105,rxn05669_c0,TRANS_RXNBWI_115637cemaizeexpVAL_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
106,rxn09672_c0,TRANS_RXNBWI_115637cemaizeexpMET_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
107,rxn05687_c0,Transport_of_putrescine__extracellular_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
108,rxn05306_c0,TRANS_RXNBWI_115637cemaizeexpPHE_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
109,rxn05307_c0,TRANS_RXNBWI_115637cemaizeexpSER_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
110,rxn05663_c0,TRANS_RXNBWI_115637cemaizeexpTRP_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
111,rxn00068_c0,Fe2_plus__NAD_plus__oxidoreductase_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
112,rxn05217_c0,TRANS_RXNBWI_115637cemaizeexpL_ASPARTATE_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
113,rxn05301_c0,TRANS_RXNBWI_115637cemaizeexpTYR_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
114,bio1,GramNegativeBiomass_auto_biomass,2OrMore,nogpr,False,False,False,,
115,EX_cpd00001_e0,EX_H2O_e0,2OrMore,nogpr,False,False,False,,
116,EX_cpd00254_e0,EX_Mg_e0,2OrMore,nogpr,False,False,False,,
117,EX_cpd10516_e0,EX_fe3_e0,2OrMore,nogpr,False,False,False,,
118,EX_cpd00007_e0,EX_O2_e0,2OrMore,nogpr,False,False,False,,
119,EX_cpd00116_e0,EX_Methanol_e0,2OrMore,nogpr,False,False,False,,
120,EX_cpd00011_e0,EX_CO2_e0,2OrMore,nogpr,False,False,False,,
121,EX_cpd03453_e0,EX_Enterobactin_e0,2OrMore,nogpr,False,False,False,,
122,EX_cpd03726_e0,EX_Fe_enterochlin_e0,2OrMore,nogpr,False,False,False,,
123,EX_cpd11416_c0,EX_Biomass_c0,2OrMore,nogpr,False,False,False,,
124,EX_cpd00067_e0,EX_H_plus__e0,2OrMore,nogpr,False,False,False,,
125,EX_cpd00132_e0,EX_L_Asparagine_e0,2OrMore,nogpr,False,False,False,,
126,EX_cpd00220_e0,EX_Riboflavin_e0,2OrMore,nogpr,False,False,False,,
127,EX_cpd00161_e0,EX_L_Threonine_e0,2OrMore,nogpr,False,False,False,,
128,EX_cpd00129_e0,EX_L_Proline_e0,2OrMore,nogpr,False,False,False,,
129,EX_cpd00264_e0,EX_Spermidine_e0,2OrMore,nogpr,False,False,False,,
130,EX_cpd00322_e0,EX_L_Isoleucine_e0,2OrMore,nogpr,False,False,False,,
131,EX_cpd00107_e0,EX_L_Leucine_e0,2OrMore,nogpr,False,False,False,,
132,EX_cpd00393_e0,EX_Folate_e0,2OrMore,nogpr,False,False,False,,
133,EX_cpd00017_e0,EX_S_Adenosyl_L_methionine_e0,2OrMore,nogpr,False,False,False,,
134,EX_cpd00023_e0,EX_L_Glutamate_e0,2OrMore,nogpr,False,False,False,,
135,EX_cpd00035_e0,EX_L_Alanine_e0,2OrMore,nogpr,False,False,False,,
136,EX_cpd00039_e0,EX_L_Lysine_e0,2OrMore,nogpr,False,False,False,,
137,EX_cpd00051_e0,EX_L_Arginine_e0,2OrMore,nogpr,False,False,False,,
138,EX_cpd00215_e0,EX_Pyridoxal_e0,2OrMore,nogpr,False,False,False,,
139,EX_cpd00305_e0,EX_Thiamin_e0,2OrMore,nogpr,False,False,False,,
140,EX_cpd00119_e0,EX_L_Histidine_e0,2OrMore,nogpr,False,False,False,,
141,EX_cpd00644_e0,EX_PAN_e0,2OrMore,nogpr,False,False,False,,
142,EX_cpd00104_e0,EX_BIOT_e0,2OrMore,nogpr,False,False,False,,
143,EX_cpd00635_e0,EX_Cbl_e0,2OrMore,nogpr,False,False,False,,
144,EX_cpd00033_e0,EX_Glycine_e0,2OrMore,nogpr,False,False,False,,
145,EX_cpd00028_e0,EX_Heme_e0,2OrMore,nogpr,False,False,False,,
146,EX_cpd00218_e0,EX_Niacin_e0,2OrMore,nogpr,False,False,False,,
147,EX_cpd00084_e0,EX_L_Cysteine_e0,2OrMore,nogpr,False,False,False,,
148,EX_cpd00053_e0,EX_L_Glutamine_e0,2OrMore,nogpr,False,False,False,,
149,EX_cpd00156_e0,EX_L_Valine_e0,2OrMore,nogpr,False,False,False,,
150,EX_cpd00060_e0,EX_L_Methionine_e0,2OrMore,nogpr,False,False,False,,
151,EX_cpd00118_e0,EX_Putrescine_e0,2OrMore,nogpr,False,False,False,,
152,EX_cpd00066_e0,EX_L_Phenylalanine_e0,2OrMore,nogpr,False,False,False,,
153,EX_cpd00054_e0,EX_L_Serine_e0,2OrMore,nogpr,False,False,False,,
154,EX_cpd00065_e0,EX_L_Tryptophan_e0,2OrMore,nogpr,False,False,False,,
155,EX_cpd00041_e0,EX_L_Aspartate_e0,2OrMore,nogpr,False,False,False,,
156,EX_cpd00069_e0,EX_L_Tyrosine_e0,2OrMore,nogpr,False,False,False,,
157,EX_cpd00027_e0,EX_D_Glucose_e0,2OrMore,nogpr,False,False,False,,
158,EX_cpd00029_e0,EX_Acetate_e0,2OrMore,nogpr,False,False,False,,
159,EX_cpd02701_b,EX_cpd02701_b,KEGG,exchange,False,True,False,,
160,EX_cpd11416_b,EX_cpd11416_b,KEGG,exchange,False,True,False,,
161,EX_cpd00001_b,EX_cpd00001_b,KEGG,exchange,False,True,False,,
162,EX_cpd00254_b,EX_cpd00254_b,KEGG,exchange,False,True,False,,
163,EX_cpd10516_b,EX_cpd10516_b,KEGG,exchange,False,True,False,,
164,EX_cpd00007_b,EX_cpd00007_b,KEGG,exchange,False,True,False,,
165,EX_cpd00116_b,EX_cpd00116_b,KEGG,exchange,False,True,False,,
166,EX_cpd00011_b,EX_cpd00011_b,KEGG,exchange,False,True,False,,
167,EX_cpd03453_b,EX_cpd03453_b,KEGG,exchange,False,True,False,,
168,EX_cpd03726_b,EX_cpd03726_b,KEGG,exchange,False,True,False,,
169,EX_cpd00060_b,EX_cpd00060_b,KEGG,exchange,False,True,False,,
170,EX_cpd00067_b,EX_cpd00067_b,KEGG,exchange,False,True,False,,
171,EX_cpd00017_b,EX_cpd00017_b,KEGG,exchange,False,True,False,,
172,EX_cpd00305_b,EX_cpd00305_b,KEGG,exchange,False,True,False,,
173,EX_cpd00129_b,EX_cpd00129_b,KEGG,exchange,False,True,False,,
174,EX_cpd00161_b,EX_cpd00161_b,KEGG,exchange,False,True,False,,
175,EX_cpd00028_b,EX_cpd00028_b,KEGG,exchange,False,True,False,,
176,EX_cpd00069_b,EX_cpd00069_b,KEGG,exchange,False,True,False,,
177,EX_cpd00053_b,EX_cpd00053_b,KEGG,exchange,False,True,False,,
178,EX_cpd00065_b,EX_cpd00065_b,KEGG,exchange,False,True,False,,
179,EX_cpd00156_b,EX_cpd00156_b,KEGG,exchange,False,True,False,,
180,EX_cpd00051_b,EX_cpd00051_b,KEGG,exchange,False,True,False,,
181,EX_cpd00215_b,EX_cpd00215_b,KEGG,exchange,False,True,False,,
182,EX_cpd00264_b,EX_cpd00264_b,KEGG,exchange,False,True,False,,
183,EX_cpd00033_b,EX_cpd00033_b,KEGG,exchange,False,True,False,,
184,EX_cpd00041_b,EX_cpd00041_b,KEGG,exchange,False,True,False,,
185,EX_cpd00119_b,EX_cpd00119_b,KEGG,exchange,False,True,False,,
186,EX_cpd00393_b,EX_cpd00393_b,KEGG,exchange,False,True,False,,
187,EX_cpd00220_b,EX_cpd00220_b,KEGG,exchange,False,True,False,,
188,EX_cpd00039_b,EX_cpd00039_b,KEGG,exchange,False,True,False,,
189,EX_cpd00066_b,EX_cpd00066_b,KEGG,exchange,False,True,False,,
190,EX_cpd00035_b,EX_cpd00035_b,KEGG,exchange,False,True,False,,
191,EX_cpd00132_b,EX_cpd00132_b,KEGG,exchange,False,True,False,,
192,EX_cpd00023_b,EX_cpd00023_b,KEGG,exchange,False,True,False,,
193,EX_cpd00118_b,EX_cpd00118_b,KEGG,exchange,False,True,False,,
194,EX_cpd00084_b,EX_cpd00084_b,KEGG,exchange,False,True,False,,
195,EX_cpd00104_b,EX_cpd00104_b,KEGG,exchange,False,True,False,,
196,EX_cpd00054_b,EX_cpd00054_b,KEGG,exchange,False,True,False,,
197,EX_cpd00322_b,EX_cpd00322_b,KEGG,exchange,False,True,False,,
198,EX_cpd00635_b,EX_cpd00635_b,KEGG,exchange,False,True,False,,
199,EX_cpd00644_b,EX_cpd00644_b,KEGG,exchange,False,True,False,,
200,EX_cpd00218_b,EX_cpd00218_b,KEGG,exchange,False,True,False,,
201,EX_cpd00107_b,EX_cpd00107_b,KEGG,exchange,False,True,False,,
202,EX_cpd00029_b,EX_cpd00029_b,KEGG,exchange,False,True,False,,
203,EX_cpd00027_b,EX_cpd00027_b,KEGG,exchange,False,True,False,,
204,rxn00247_c0,ATP_oxaloacetate_carboxy_lyase_transphosphorylatingphosphoenolpyruvate_forming_c0,KEGG,hasgpr,True,False,False,ACZ81_RS19265,ACZ81_RS19265
205,rxn02342_c0,R03270_c0,KEGG,hasgpr,True,False,False,ACZ81_RS14655,ACZ81_RS14655
206,rxn00973_c0,citrate_hydroxymutase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS01640 or ACZ81_RS03425 or ACZ81_RS03455,ACZ81_RS01640 or ACZ81_RS03455 or ACZ81_RS03425
207,rxn00199_c0,oxalosuccinate_carboxy_lyase_2_oxoglutarate_forming_c0,KEGG,hasgpr,True,False,False,ACZ81_RS09200,ACZ81_RS09200
208,rxn00545_c0,ATP_D_fructose_6_phosphate_1_phosphotransferase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS10020,ACZ81_RS10020
209,rxn05040_c0,D_ribulose_5_phosphate_formate_lyase_L_3_4_dihydroxybutan_2_one_4_phosphate_forming_c0,KEGG,hasgpr,True,False,False,ACZ81_RS13030,ACZ81_RS13030
210,rxn06493_c0,dihydrolipoylprotein_NAD_plus__oxidoreductase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS14645,ACZ81_RS14645
211,rxn02376_c0,R03316_c0,KEGG,hasgpr,True,False,False,ACZ81_RS09795,ACZ81_RS09795
212,rxn00568_c0,NIRBD_RXNc_c0,KEGG,hasgpr,True,False,False,ACZ81_RS03115 or ACZ81_RS03110,ACZ81_RS03110 or ACZ81_RS03115
213,rxn00225_c0,ATP_acetate_phosphotransferase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS07130,ACZ81_RS07130
214,rxn00148_c0,ATP_pyruvate_2_O_phosphotransferase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS11765,ACZ81_RS11765
215,rxn00781_c0,D_glyceraldehyde_3_phosphate_NAD_plus__oxidoreductase_phosphorylating_c0,KEGG,hasgpr,True,False,False,ACZ81_RS11690 or ACZ81_RS11725,ACZ81_RS11725 or ACZ81_RS11690
216,rxn05319_c0,TRANS_RXNBWI_115401cemaizeexpOH_c0,KEGG,nogpr,False,False,False,Unknown,Unknown
217,rxn00178_c0,Acetyl_CoA_acetyl_CoA_C_acetyltransferase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS08280 or ACZ81_RS02645 or ACZ81_RS06155 or ACZ81_RS08655,ACZ81_RS02645 or ACZ81_RS08280 or ACZ81_RS08655 or ACZ81_RS06155
218,rxn00549_c0,D_Fructose_1_6_bisphosphate_1_phosphohydrolase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS00890,ACZ81_RS00890
219,rxn00506_c0,Acetaldehyde_NAD_plus__oxidoreductase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS02375,ACZ81_RS02375
220,rxn02380_c0,beta_D_Glucose_6_phosphate_ketol_isomerase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS15045,ACZ81_RS15045
221,rxn00336_c0,isocitrate_glyoxylate_lyase_succinate_forming_c0,KEGG,hasgpr,True,False,False,ACZ81_RS13685,ACZ81_RS13685
222,rxn01872_c0,succinyl_CoA_enzyme_N6_dihydrolipoyllysine_S_succinyltransferase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS09800,ACZ81_RS09800
223,rxn00248_c0,S_malate_NAD_plus__oxidoreductase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS16730,ACZ81_RS16730
224,rxn00392_c0,ATP_riboflavin_5_phosphotransferase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS13260,ACZ81_RS13260
225,rxn00747_c0,D_glyceraldehyde_3_phosphate_aldose_ketose_isomerase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS09395,ACZ81_RS09395
226,rxn01334_c0,Sedoheptulose_1_7_bisphosphate_D_glyceraldehyde_3_phosphate_lyase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS03955,ACZ81_RS03955
227,rxn06777_c0,S_3_Hydroxytetradecanoyl_CoA_NAD_plus__oxidoreductase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS02650 or ACZ81_RS06160 or ACZ81_RS08650,ACZ81_RS06160 or ACZ81_RS08650 or ACZ81_RS02650
228,rxn03884_c0,2_dehydro_3_deoxy_D_gluconate_6_phosphate_D_glyceraldehyde_3_phosphate_lyase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS11735 or ACZ81_RS11890,ACZ81_RS11735 or ACZ81_RS11890
229,rxn03240_c0,S_3_Hydroxyhexadecanoyl_CoA_hydro_lyase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS02650 or ACZ81_RS14040 or ACZ81_RS12490 or ACZ81_RS06160,ACZ81_RS06160 or ACZ81_RS12490 or ACZ81_RS14040 or ACZ81_RS02650
230,rxn00147_c0,ATP_pyruvate_water_phosphotransferase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS09130,ACZ81_RS09130
231,rxn00777_c0,D_ribose_5_phosphate_aldose_ketose_isomerase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS14590,ACZ81_RS14590
232,rxn02314_c0,ATP_D_tagatose_6_phosphate_1_phosphotransferase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS10020,ACZ81_RS10020
233,rxn00251_c0,phosphate_oxaloacetate_carboxy_lyase_adding_phosphatephosphoenolpyruvate_forming_c0,KEGG,hasgpr,True,False,False,ACZ81_RS16725,ACZ81_RS16725
234,rxn00285_c0,Succinate_CoA_ligase_ADP_forming_c0,KEGG,hasgpr,True,False,False,ACZ81_RS09810 or ACZ81_RS09805,ACZ81_RS09805 or ACZ81_RS09810
235,rxn01871_c0,acetyl_CoA_enzyme_N6_dihydrolipoyllysine_S_acetyltransferase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS14650,ACZ81_RS14650
236,rxn01169_c0,ATP_beta_D_glucose_6_phosphotransferase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS11740,ACZ81_RS11740
237,rxn00786_c0,D_fructose_1_6_bisphosphate_D_glyceraldehyde_3_phosphate_lyase_glycerone_phosphate_forming_c0,KEGG,hasgpr,True,False,False,ACZ81_RS03955,ACZ81_RS03955
238,rxn01100_c0,ATP_3_phospho_D_glycerate_1_phosphotransferase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS03945,ACZ81_RS03945
239,rxn00102_c0,carbonate_hydro_lyase_carbon_dioxide_forming_c0,KEGG,hasgpr,True,False,False,ACZ81_RS05345,ACZ81_RS05345
240,rxn00512_c0,Glycolate_NAD_plus__oxidoreductase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS19665,ACZ81_RS19665
241,rxn00173_c0,acetyl_CoA_phosphate_acetyltransferase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS07135,ACZ81_RS07135
242,rxn00500_c0,R_Lactate_NAD_plus__oxidoreductase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS16060 or ACZ81_RS12895 or ACZ81_RS09935,ACZ81_RS16060 or ACZ81_RS09935 or ACZ81_RS12895
243,rxn01477_c0,6_Phospho_D_gluconate_hydro_lyase2_dehydro_3_deoxy_6_phospho_D_gluconate_forming_c0,KEGG,hasgpr,True,False,False,ACZ81_RS11745,ACZ81_RS11745
244,rxn01123_c0,ATP_2_dehydro_3_deoxy_D_gluconate_6_phosphotransferase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS11895,ACZ81_RS11895
245,rxn01116_c0,D_Ribulose_5_phosphate_3_epimerase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS01925,ACZ81_RS01925
246,rxn00868_c0,Butanoyl_CoA_acceptor_2_3_oxidoreductase_c0,KEGG,hasgpr,True,False,False,ACZ81_RS16715,ACZ81_RS16715
